,year,month,day,richter,area,region,deaths,,,year1,richter1,deaths1
62,1960,May,21,9.5,South,Chile,1655,,,1990,7.55,20811
63,1962,September,1,7.1,Northwest,Iran,12255,,,1991,6.9,1600
64,1963,July,26,6,Skopje,Yugoslavia,1100,,,1992,6.82,2168
65,1964,March,27,9.2,Alaska,United States,131,,,1993,6.2,9748
66,1966,March,7,7,Hebei,China,1000,,,1994,6.8,531
67,1966,March,22,6.9,Hebei,Chine,1000,,,1995,7.2,3746
68,1966,August,19,6.8,East,Turkey,2529,,,1997,6.7,1284
69,1968,August,31,7.3,Northeast,Iran,12000,,,1998,6.5,2836
70,1969,July,25,5.9,Guangdong,China,3000,,,1999,7.1,6901
71,1970,January,5,7.5,Yunnan,China,10000,,,,,
72,1970,March,28,6.9,West,Turkey,1086,,,,,
73,1970,May,31,7.9,Chimbote,Peru,7.00E+05,,,,,
74,1971,February,9,6.6,San Fernando Valley,United States,65,,,,,
75,1971,May,22,6.9,SE of Ankara,Turkey,1000,,,,,
76,1972,April,10,7.1,South,Iran,5054,,,,,
77,1972,December,23,6.2,Managua,Nicaragua,5000,,,,,
78,1974,May,10,6.8,NA,China,20000,,,,,
79,1974,December,28,6.2,North,Pakistan,5300,,,,,
80,1975,February,4,7,Haicheng,China,2000,,,,,
81,1975,September,6,6.7,East,Turkey,2300,,,,,
82,1976,February,4,7.5,NA,Guatemala,23000,,,,,
83,1976,May,6,6.5,Northeast,Italy,1000,,,,,
84,1976,June,25,7.1,Irian Jaya,New Guinea,422,,,,,
85,1976,July,28,7.5,Tangshan,China,255000,,,,,
86,1976,August,16,7.9,Mindanao,Philippines,8000,,,,,
87,1976,November,24,7.3,Northwest Border,Iran-Turkey,5000,,,,,
88,1977,March,4,7.2,NA,Romania,1500,,,,,
89,1978,September,16,7.8,Northeast,Iran,15000,,,,,
90,1980,October,10,7.7,Northwest,Algeria,5000,,,,,
91,1980,November,23,6.5,South,Italy,2735,,,,,
92,1981,June,11,6.9,South,Iran,3000,,,,,
93,1981,July,28,7.3,South,Iran,1500,,,,,
94,1982,December,13,6,W Arabian Peninsula,NA,2800,,,,,
95,1983,October,30,6.9,East,Turkey,1342,,,,,
96,1985,September,19,8,Michoacan,Mexico,9500,,,,,
97,1986,October,10,5.5,NA,El Salvador,1000,,,,,
98,1987,March,6,7,Border,Colombia-Ecuador,1000,,,,,
99,1988,August,20,6.8,Border,India-Nepal,1000,,,,,
100,1988,December,7,6.8,Spitak,Armenia,25000,,,,,
101,1989,October,17,6.9,San Francisco,United States,63,,,,,
102,1990,June,20,7.4,West,Iran,40000,,,,,
103,1990,July,16,7.7,Luzon,Philippines,1621,,,,,
104,1991,February,1,6.8,Border,Pakistan-Afghanistan,1200,,,,,
105,1991,October,19,7,North,India,2000,,,,,
106,1992,March,13,6.8,East,Turkey,4000,,,,,
107,1992,March,15,6,East,Turkey,NA,,,,,
108,1992,June,28,7.3,Landers,United States,3,,,,,
109,1992,June,28,6.5,Big Bear,United States,NA,,,,,
110,1992,December,12,7.5,Flores Island,Indonesia,2500,,,,,
111,1993,September,30,6.2,Maharashtra,India,9748,,,,,
112,1994,January,17,6.8,Northridge,United States,61,,,,,
113,1994,June,6,6.8,Cauca,Colombia,1000,,,,,
114,1995,January,16,6.9,Kobe,Japan,5502,,,,,
115,1995,May,27,7.5,Sakhalin Island,Russia,1989,,,,,
116,1997,February,28,6.1,Northwest,Iran,1000,,,,,
117,1997,May,10,7.3,North,Iran,1567,,,,,
118,1998,February,4,5.9,Hindu Kush,Afghanistan,2323,,,,,
119,1998,May,30,6.6,Border,Afghanistan-Tajikistan,4000,,,,,
120,1998,July,17,7,Papua,New Guinea,2183,,,,,
121,1999,January,25,6.1,Armenia,Colombia,1185,,,,,
122,1999,August,17,7.6,Izmit,Turkey,17118,,,,,
123,1999,September,20,7.6,Taichung,Taiwan,2400,,,,,
